Topic Index,Words and Weights
0,"0.027*""..."" + 0.024*""o"" + 0.024*""a"" + 0.021*""de"" + 0.016*""e"" + 0.015*""|"" + 0.012*""Kolme"" + 0.011*""consulta"" + 0.010*""and"" + 0.009*""com"" + 0.009*""uma"" + 0.009*""Group"" + 0.008*""NataÃ§Ã£o"" + 0.008*""sua"" + 0.007*""em"" + 0.006*""saber"" + 0.006*""da"" + 0.006*""parceiros"" + 0.006*""um"" + 0.006*""MarcaÃ§Ã£o"" + 0.006*""sem"" + 0.006*""Ã"" + 0.006*""que"" + 0.006*""nossos"" + 0.006*""dos"" + 0.006*""mais"" + 0.006*""para"" + 0.005*""si"" + 0.005*""suaÂ"" + 0.005*""compromisso"" + 0.005*""fazer"" + 0.005*""photos"" + 0.005*""Se"" + 0.005*""Reserve"" + 0.005*""sobre"" + 0.005*""-"" + 0.005*""podemos"" + 0.004*""Consulta"" + 0.004*""ajudar"" + 0.004*""quiser"" + 0.004*""videos"" + 0.004*""O"" + 0.004*""Instagram"" + 0.004*""Doha"" + 0.004*""Mundial"" + 0.004*""the"" + 0.004*""of"" + 0.004*""do"" + 0.003*""(@clinicasuaconsulta)"" + 0.003*""Sua"" + 0.003*""on"" + 0.003*""ComputaÃ§Ã£o"" + 0.003*""qual"" + 0.003*""corrida"" + 0.003*""Paris"" + 0.003*""ANM"" + 0.003*""ChatGPT"" + 0.003*""A"" + 0.003*""AssociaÃ§Ã£o"" + 0.003*""No"" + 0.003*""peso"" + 0.003*""Fechar"" + 0.003*""2024:"" + 0.003*""na"" + 0.003*""Home"" + 0.003*""or"" + 0.003*""other"" + 0.003*""support"" + 0.003*""To"" + 0.003*""International"" + 0.002*""â€¢"" + 0.002*""en"" + 0.002*""Espregueira"" + 0.002*""ClÃ­nica"" + 0.002*""for"" + 0.002*""to"" + 0.002*""from"" + 0.002*""CiÃªncia"" + 0.002*""MMA"" + 0.002*""5v5"""
1,"0.042*""and"" + 0.035*""..."" + 0.020*""the"" + 0.017*""-"" + 0.017*""of"" + 0.016*""Instagram"" + 0.016*""Consulta"" + 0.015*""a"" + 0.015*""photos"" + 0.015*""videos"" + 0.015*""Sua"" + 0.013*""in"" + 0.012*""(@clinicasuaconsulta)"" + 0.010*""from"" + 0.008*""is"" + 0.008*""for"" + 0.007*""Posts"" + 0.007*""â€¢"" + 0.007*""Followers,"" + 0.007*""See"" + 0.007*""Following,"" + 0.006*""to"" + 0.006*""101"" + 0.005*""|"" + 0.005*""2525"" + 0.005*""on"" + 0.005*""de"" + 0.004*""your"" + 0.004*""do"" + 0.004*""Ava-Conda."" + 0.004*""Limpeza"" + 0.003*""by"" + 0.003*""1282"" + 0.003*""The"" + 0.003*""or"" + 0.003*""Lula"" + 0.003*""sua"" + 0.003*""With"" + 0.002*""1283"" + 0.002*""YouTube"" + 0.002*""an"" + 0.002*""that"" + 0.002*""Carros"" + 0.002*""Wikipedia"" + 0.002*""Escola"" + 0.002*""VALORANT"" + 0.002*""tactical"" + 0.002*""Directed"" + 0.002*""que"" + 0.002*""Â·"" + 0.002*""o"" + 0.002*""5v5"" + 0.002*""consulta"" + 0.002*""(TV"" + 0.002*""Dirichlet"" + 0.002*""Agende"" + 0.002*""ASMR"""" + 0.002*""(Portugues)"" + 0.002*""&"" + 0.002*""(Portugues):"" + 0.002*""Riot"" + 0.002*""O"" + 0.002*""""Ava-Conda"" + 0.002*""We"" + 0.002*""character-based"" + 0.002*""as"" + 0.002*""2023"" + 0.002*""I"" + 0.002*""with"" + 0.002*""um"" + 0.002*""about"" + 0.002*""Brazil"" + 0.001*""Ã©"" + 0.001*""located"" + 0.001*""Summerville"" + 0.001*""e"" + 0.001*""/"" + 0.001*""its"" + 0.001*""VALORANT:"" + 0.001*""processo"""
2,"0.041*""sua"" + 0.041*""Agende"" + 0.040*""SÃ£o"" + 0.040*""consulta"" + 0.039*""em"" + 0.032*""com"" + 0.028*""Dr."" + 0.027*""de"" + 0.026*""CristovÃ£o"" + 0.025*""..."" + 0.025*""urologista"" + 0.025*""Paulo."" + 0.016*""|"" + 0.016*""e"" + 0.015*""do"" + 0.014*""Distrito"" + 0.014*""Hospital"" + 0.014*""Olhos"" + 0.014*""Paulo"" + 0.014*""Federal"" + 0.013*""Â·"" + 0.013*""no"" + 0.013*""Neto."" + 0.013*""um"" + 0.013*""Marque"" + 0.013*""horÃ¡rio"" + 0.013*""seu"" + 0.013*""angiologista"" + 0.013*""Consulte"" + 0.012*""o"" + 0.007*""qualificada"" + 0.007*""equipe"" + 0.007*""oftalmologistas."" + 0.005*""the"" + 0.004*""-"" + 0.004*""of"" + 0.004*""is"" + 0.004*""a"" + 0.003*""to"" + 0.003*""The"" + 0.003*""da"" + 0.002*""Carros"" + 0.002*""and"" + 0.002*""Cachorro"" + 0.002*""cÃ¡lculo"" + 0.002*""in"" + 0.001*""YouTube"" + 0.001*""by"" + 0.001*""&"" + 0.001*""LÃ³pez"" + 0.001*""UNIR"" + 0.001*""Messenger"" + 0.001*"")"" + 0.001*""("" + 0.001*""Wikipedia"" + 0.001*""Lula"" + 0.001*""DISPONIBILIDADE."" + 0.001*""profissional."" + 0.001*""Cirurgia"" + 0.001*""consulta."" + 0.001*""Escolha"" + 0.001*""NeurocirurgiÃ£o"" + 0.001*""DA"" + 0.001*""VERIFICAR"" + 0.001*""TardeÂ"" + 0.001*""Luiz"" + 0.001*""TURNO:"" + 0.001*""ManhÃ£,"" + 0.001*""SEMANA:"" + 0.001*""Pimenta."" + 0.001*""Coluna."" + 0.001*""DIA"" + 0.001*""for"" + 0.001*""that"" + 0.001*""News"" + 0.001*""uma"" + 0.001*""A"" + 0.001*""Sewickley,"" + 0.001*""AssociaÃ§Ã£o"" + 0.001*""Adam"""
3,"0.025*""and"" + 0.024*""consulta"" + 0.023*""..."" + 0.021*""o"" + 0.018*""de"" + 0.016*""a"" + 0.014*""the"" + 0.013*""e"" + 0.013*""Group"" + 0.013*""sua"" + 0.010*""Kolme"" + 0.010*""com"" + 0.009*""do"" + 0.009*""to"" + 0.009*""|"" + 0.009*""-"" + 0.008*""on"" + 0.007*""Hospital"" + 0.007*""Distrito"" + 0.007*""Federal"" + 0.007*""uma"" + 0.007*""Agende"" + 0.007*""Olhos"" + 0.007*""no"" + 0.007*""of"" + 0.007*""MarcaÃ§Ã£o"" + 0.007*""dos"" + 0.007*""si"" + 0.007*""que"" + 0.007*""sem"" + 0.007*""um"" + 0.007*""fazer"" + 0.007*""mais"" + 0.007*""saber"" + 0.006*""Se"" + 0.006*""podemos"" + 0.006*""quiser"" + 0.006*""ajudar"" + 0.006*""para"" + 0.006*""your"" + 0.006*""nossos"" + 0.006*""with"" + 0.006*""sobre"" + 0.006*""parceiros"" + 0.006*""suaÂ"" + 0.006*""Reserve"" + 0.006*""compromisso"" + 0.006*""Ã"" + 0.005*""Facebook"" + 0.005*""ChatGPT"" + 0.005*""Google"" + 0.004*""Apps"" + 0.004*""qualificada"" + 0.004*""oftalmologistas."" + 0.004*""equipe"" + 0.004*""Â·"" + 0.004*""Play"" + 0.004*""is"" + 0.003*""in"" + 0.003*""between"" + 0.003*""patient"" + 0.003*""14,"" + 0.003*""safety."" + 0.003*""conferencing"" + 0.003*""2023"" + 0.003*""Sep"" + 0.003*""doctor"" + 0.003*""HiMeet"" + 0.003*""Video"" + 0.003*""quality"" + 0.003*""mÃ©dica"" + 0.003*""Business"" + 0.003*""Sua"" + 0.002*""YouTube"" + 0.002*""for"" + 0.002*""by"" + 0.002*""it"" + 0.002*""use"" + 0.002*""that"" + 0.002*""or"""
4,"0.019*""..."" + 0.015*""|"" + 0.013*""o"" + 0.012*""a"" + 0.011*""e"" + 0.010*""sua"" + 0.009*""and"" + 0.008*""da"" + 0.008*""games"" + 0.008*""for"" + 0.007*""consulta"" + 0.006*""de"" + 0.006*""The"" + 0.006*""que"" + 0.005*""the"" + 0.005*""of"" + 0.005*""to"" + 0.005*""Group"" + 0.005*""Kolme"" + 0.005*""Se"" + 0.005*""American"" + 0.005*""Ã"" + 0.005*""do"" + 0.005*""Google"" + 0.005*""in"" + 0.005*""vocÃª"" + 0.004*""Find"" + 0.004*""mais"" + 0.004*""-"" + 0.004*""com"" + 0.004*""you"" + 0.004*""para"" + 0.004*""out"" + 0.003*""Games"" + 0.003*""Modelo"" + 0.003*""Pan"" + 0.003*""AviÃ£o"" + 0.003*""get"" + 0.003*""PS4"" + 0.003*""Classificar"" + 0.003*""PreÃ§o:"" + 0.003*""PSN"" + 0.003*""Jogos"" + 0.003*""entre"" + 0.003*""Jair"" + 0.003*""seus"" + 0.003*""em"" + 0.003*""parceiros"" + 0.003*""informar"" + 0.003*""consulta,"" + 0.003*""si"" + 0.003*""Grupo"" + 0.003*""ajudar"" + 0.003*""OncoclÃ­nicas"" + 0.003*""suaÂ"" + 0.003*""Bolsonaro"" + 0.003*""Â·"" + 0.003*""campo"" + 0.003*""Reserve"" + 0.003*""nossos"" + 0.003*""fazer"" + 0.003*""Luccas"" + 0.003*""dos"" + 0.003*""marcaÃ§Ã£o"" + 0.003*""from"" + 0.003*""tiver"" + 0.003*""contatoÂ"" + 0.003*""nosso"" + 0.003*""compromisso"" + 0.003*""dÃºvida"" + 0.003*""Ao"" + 0.003*""uma"" + 0.003*""podemos"" + 0.003*""concorda"" + 0.003*""Agende"" + 0.002*""alguma"" + 0.002*""abaixo:"" + 0.002*""um"" + 0.002*""preencha"" + 0.002*""A"""
5,"0.060*""..."" + 0.036*""de"" + 0.034*""sua"" + 0.029*""consulta"" + 0.024*""Agende"" + 0.022*""o"" + 0.021*""-"" + 0.017*""que"" + 0.014*""com"" + 0.012*""O"" + 0.012*""Ã©"" + 0.011*""pay.suaconsulta.shop"" + 0.011*""site"" + 0.011*""and"" + 0.011*""em"" + 0.011*""do"" + 0.010*""|"" + 0.010*""vocÃª"" + 0.008*""da"" + 0.008*""CRV"" + 0.008*""Ã"" + 0.008*""Se"" + 0.006*""um"" + 0.006*""2"" + 0.006*""3"" + 0.006*""Encontramos"" + 0.006*""mesesSites"" + 0.006*""site:"" + 0.006*""confiavel?"" + 0.006*""Tempo"" + 0.006*""Detector"" + 0.006*""confiÃ¡vel?"" + 0.006*""menos"" + 0.006*""Site"" + 0.006*""1"" + 0.006*""atenÃ§Ã£o."" + 0.006*""deÂ"" + 0.006*""registro"" + 0.006*""exigir"" + 0.006*""ano"" + 0.006*""informaÃ§Ãµes"" + 0.006*""podem"" + 0.006*""entre"" + 0.006*""concorda"" + 0.006*""campo"" + 0.006*""preencha"" + 0.006*""seus"" + 0.006*""Grupo"" + 0.006*""abaixo:"" + 0.006*""nosso"" + 0.006*""contatoÂ"" + 0.006*""alguma"" + 0.006*""OncoclÃ­nicas"" + 0.006*""tiver"" + 0.006*""consulta,"" + 0.006*""informar"" + 0.006*""dÃºvida"" + 0.006*""time"" + 0.006*""dados"" + 0.006*""marcaÃ§Ã£o"" + 0.006*""Ao"" + 0.006*""relacionada"" + 0.006*""seu"" + 0.005*""e"" + 0.005*""uma"" + 0.005*""no"" + 0.005*""Olhos"" + 0.005*""Hospital"" + 0.005*""Federal"" + 0.005*""Distrito"" + 0.005*""SÃ£o"" + 0.005*""on"" + 0.005*""with"" + 0.005*""Dr."" + 0.005*""2023"" + 0.005*""Google"" + 0.005*""Play"" + 0.005*""Apps"" + 0.005*""between"" + 0.005*""14,"""
6,"0.051*""..."" + 0.028*""de"" + 0.023*""-"" + 0.021*""o"" + 0.020*""sua"" + 0.020*""CRV"" + 0.020*""Agende"" + 0.017*""and"" + 0.012*""Consulta"" + 0.012*""the"" + 0.011*""uma"" + 0.011*""que"" + 0.011*""Para"" + 0.011*""iniciar"" + 0.010*""pode"" + 0.010*""comodidade,"" + 0.010*""comodidade"" + 0.010*""maior"" + 0.010*""Oftalmologia"" + 0.010*""consultaÂ"" + 0.010*""oferece."" + 0.010*""consulta"" + 0.010*""seu"" + 0.009*""processo"" + 0.009*""vocÃª"" + 0.009*""prÃ©-agendamento"" + 0.007*""to"" + 0.006*""2023"" + 0.005*""Google"" + 0.005*""from"" + 0.004*""a"" + 0.004*""Sua"" + 0.003*""by"" + 0.003*""Elon"" + 0.003*""e"" + 0.003*""DE"" + 0.003*""The"" + 0.003*""your"" + 0.003*""Limpeza"" + 0.003*""with"" + 0.003*""Ava-Conda."" + 0.003*""of"" + 0.003*""|"" + 0.003*""for"" + 0.002*""Natura"" + 0.002*""SAMBA"" + 0.002*""ESCOLA"" + 0.002*""you"" + 0.002*""on"" + 0.002*""&"" + 0.002*""is"" + 0.002*""site"" + 0.002*""Musk"" + 0.002*""O"" + 0.002*""Tesla,"" + 0.002*""Ã©"" + 0.002*""Brasil"" + 0.002*""EP"" + 0.002*""Poki"" + 0.002*""VALORANT"" + 0.002*""Winter"" + 0.002*""Cloud"" + 0.002*""Â·"" + 0.002*""14,"" + 0.002*""com"" + 0.002*""Rishi"" + 0.002*""AI,"" + 0.002*""Global"" + 0.002*""Inc."" + 0.002*""(UNIR)"" + 0.002*""Engineered"" + 0.002*""Sunak"" + 0.002*""Products,"" + 0.002*""stock"" + 0.002*""pay.suaconsulta.shop"" + 0.002*""Uniroyal"" + 0.001*""Directed"" + 0.001*""between"" + 0.001*""(Portugues):"" + 0.001*""Trends"""
7,"0.032*""..."" + 0.031*""and"" + 0.020*""Consulta"" + 0.020*""Ava-Conda."" + 0.020*""Sua"" + 0.019*""Limpeza"" + 0.018*""|"" + 0.017*""the"" + 0.012*""-"" + 0.012*""of"" + 0.011*""(TV"" + 0.011*""by"" + 0.010*""""Ava-Conda"" + 0.010*""(Portugues)"" + 0.010*""Directed"" + 0.010*""With"" + 0.010*""(Portugues):"" + 0.009*""ASMR"""" + 0.007*""de"" + 0.007*""Â·"" + 0.007*""The"" + 0.006*""to"" + 0.006*""in"" + 0.006*""on"" + 0.005*""Google"" + 0.005*""Universo"" + 0.005*""Agende"" + 0.004*""is"" + 0.004*""sua"" + 0.004*""do"" + 0.004*""CRV"" + 0.004*""with"" + 0.003*""but"" + 0.003*""&"" + 0.003*""for"" + 0.003*""MMA"" + 0.003*""o"" + 0.003*""YouTube"" + 0.003*""as"" + 0.003*""consulta"" + 0.003*""que"" + 0.003*""most"" + 0.003*""Elon"" + 0.003*""Perrito"" + 0.003*""cachorro"" + 0.003*""can"" + 0.003*""mean"" + 0.003*""Wikipedia"" + 0.002*""Hotel"" + 0.002*""Tesla,"" + 0.002*""Cachorro"" + 0.002*""this"" + 0.002*""CabeÃ§a"" + 0.002*""your"" + 0.002*""A"" + 0.002*""known"" + 0.002*""Apps"" + 0.002*""uma"" + 0.002*""Play"" + 0.002*""Federation"" + 0.002*""International"" + 0.002*""MatemÃ¡tica"" + 0.002*""Iberoamericana"" + 0.002*""dog"" + 0.002*""Climate"" + 0.002*""Judo"" + 0.002*""puppy"" + 0.002*""channel"" + 0.002*""December"" + 0.002*""Revista"" + 0.002*""Air"" + 0.002*""Quality"" + 0.002*""channel)"" + 0.002*""comodidade,"" + 0.002*""at"" + 0.002*""through"" + 0.002*""Bellator"" + 0.002*""Book"" + 0.002*""search"" + 0.002*""Best"""
8,"0.024*""..."" + 0.007*""is"" + 0.005*""-"" + 0.005*""to"" + 0.005*""de"" + 0.005*""has"" + 0.005*""2019"" + 0.004*""expected"" + 0.004*""This"" + 0.004*""been"" + 0.004*""Oct"" + 0.003*""Agende"" + 0.003*""a"" + 0.003*""que"" + 0.003*""and"" + 0.003*""CRV"" + 0.003*""o"" + 0.003*""uma"" + 0.003*""of"" + 0.003*""the"" + 0.002*""Its"" + 0.002*""full-year"" + 0.002*""Support"" + 0.002*""revenue"" + 0.002*""beÂ"" + 0.002*""Acquires"" + 0.002*""break-even"" + 0.002*""Sapiens"" + 0.002*""transaction"" + 0.002*""sua"" + 0.002*""Penetration"" + 0.002*""10,"" + 0.002*""CÃ¡lculo"" + 0.002*""OpenAI"" + 0.002*""Marketing"" + 0.002*""Calculo's"" + 0.002*""$10"" + 0.002*""million,"" + 0.002*""processo"" + 0.002*""profitability."" + 0.002*""are"" + 0.002*""approximately"" + 0.002*""Spain-based"" + 0.002*""with"" + 0.002*""Monitoring"" + 0.002*""implemented"" + 0.002*""resolved."" + 0.002*""Resolved"" + 0.002*""fix"" + 0.002*""ou"" + 0.002*""monitoring"" + 0.002*""resultsÂ"" + 0.002*""for"" + 0.002*""Jair"" + 0.002*""pode"" + 0.002*""No"" + 0.002*""comodidade"" + 0.002*""reported"" + 0.002*""A"" + 0.002*""seu"" + 0.002*""incidents"" + 0.002*""Para"" + 0.002*""|"" + 0.002*""Brazil's"" + 0.002*""Related"" + 0.002*""consultaÂ"" + 0.002*""Â·"" + 0.002*""Cachorro,"" + 0.002*""consulta"" + 0.002*""maior"" + 0.002*""we"" + 0.002*""today."" + 0.002*""oferece."" + 0.002*""comodidade,"" + 0.002*""iniciar"" + 0.002*""his"" + 0.002*""vocÃª"" + 0.002*""Caminito"" + 0.001*""incident"" + 0.001*""Status"""
9,"0.049*""Consulta"" + 0.048*""Sua"" + 0.048*""and"" + 0.034*""Limpeza"" + 0.034*""Ava-Conda."" + 0.033*""..."" + 0.018*""by"" + 0.017*""ASMR"""" + 0.017*""With"" + 0.017*""(Portugues):"" + 0.017*""""Ava-Conda"" + 0.017*""(Portugues)"" + 0.017*""(TV"" + 0.017*""Directed"" + 0.016*""o"" + 0.014*""videos"" + 0.014*""photos"" + 0.014*""consulta"" + 0.014*""Instagram"" + 0.013*""(@clinicasuaconsulta)"" + 0.012*""e"" + 0.011*""a"" + 0.010*""sua"" + 0.010*""Kolme"" + 0.010*""-"" + 0.009*""de"" + 0.008*""com"" + 0.007*""Group"" + 0.007*""2525"" + 0.007*""â€¢"" + 0.007*""from"" + 0.007*""Following,"" + 0.007*""See"" + 0.007*""101"" + 0.007*""Posts"" + 0.007*""Followers,"" + 0.006*""um"" + 0.006*""|"" + 0.005*""que"" + 0.005*""Â·"" + 0.005*""para"" + 0.005*""fazer"" + 0.005*""Reserve"" + 0.005*""Se"" + 0.005*""uma"" + 0.005*""nossos"" + 0.005*""si"" + 0.005*""Ã"" + 0.005*""em"" + 0.005*""ajudar"" + 0.005*""Agende"" + 0.005*""dos"" + 0.004*""saber"" + 0.004*""quiser"" + 0.004*""MarcaÃ§Ã£o"" + 0.004*""mais"" + 0.004*""parceiros"" + 0.004*""sobre"" + 0.004*""suaÂ"" + 0.004*""sem"" + 0.004*""podemos"" + 0.004*""the"" + 0.004*""compromisso"" + 0.004*""1283"" + 0.003*""do"" + 0.003*""1282"" + 0.003*""da"" + 0.003*""SÃ£o"" + 0.003*""to"" + 0.002*""CristovÃ£o"" + 0.002*""urologista"" + 0.002*""NataÃ§Ã£o"" + 0.002*""Paulo."" + 0.002*""Dr."" + 0.002*""Distrito"" + 0.002*""Federal"" + 0.002*""Olhos"" + 0.002*""in"" + 0.002*""della"" + 0.002*""no"""
